iter	Logloss
0	0.6607058258
1	0.637012316
2	0.6157313114
3	0.5985983944
4	0.5860567485
5	0.5758133702
6	0.567534657
7	0.5605740045
8	0.5553619932
9	0.5508629423
10	0.5475563262
11	0.5438587611
12	0.541501831
13	0.5386206325
14	0.5364555833
15	0.5348718453
16	0.5335124322
17	0.53228234
18	0.5310276491
19	0.5300911229
20	0.5293328621
21	0.5282255615
22	0.527717743
23	0.5270895117
24	0.5263997834
25	0.5257815739
26	0.5252250639
27	0.524582863
28	0.5241306195
29	0.5236554981
30	0.5231111356
31	0.5227877574
32	0.5223724122
33	0.5219897134
34	0.521570319
35	0.521113672
36	0.520397624
37	0.5201372107
38	0.5197820971
39	0.5193995502
40	0.5185766037
41	0.5183435731
42	0.5179308091
43	0.5176058113
44	0.5173844727
45	0.5171182387
46	0.5168851574
47	0.516486515
48	0.5162450823
49	0.5160614517
50	0.5157539666
51	0.5155202779
52	0.5153167051
53	0.5150950627
54	0.5148223501
55	0.5146025299
56	0.5142463533
57	0.5140199026
58	0.5137403062
59	0.5134399072
60	0.5131987276
61	0.5129301147
62	0.5125232727
63	0.5123484491
64	0.5121265031
65	0.5118280274
66	0.5115628057
67	0.5112906498
68	0.511053823
69	0.5107637494
70	0.5105222661
71	0.5102382157
72	0.5100190028
73	0.5097951334
74	0.5095998108
75	0.5093778142
76	0.509128688
77	0.5088830542
78	0.5086697127
79	0.5083627844
80	0.508052971
81	0.507846007
82	0.5076535188
83	0.507438912
84	0.5072366551
85	0.5070379919
86	0.506868331
87	0.5066471948
88	0.5063191095
89	0.5061110825
90	0.5059451165
91	0.5056226494
92	0.5054747529
93	0.5052085189
94	0.5050354668
95	0.5046897675
96	0.5045192968
97	0.5042990211
98	0.5039610659
99	0.5036833929
