iter	Passed	Remaining
0	8	867
1	17	836
2	24	805
3	33	800
4	42	810
5	51	811
6	61	812
7	70	809
8	79	799
9	88	795
10	97	787
11	106	781
12	116	777
13	125	770
14	134	763
15	143	755
16	152	746
17	161	736
18	170	728
19	179	718
20	188	710
21	197	701
22	206	692
23	216	684
24	225	676
25	234	667
26	243	658
27	253	650
28	261	641
29	270	631
30	279	621
31	287	610
32	295	599
33	303	589
34	312	579
35	320	569
36	328	559
37	337	550
38	345	540
39	353	530
40	361	520
41	370	511
42	378	501
43	387	493
44	396	484
45	404	474
46	413	466
47	421	457
48	430	448
49	439	439
50	447	430
51	456	421
52	464	411
53	472	402
54	481	394
55	490	385
56	498	375
57	506	366
58	515	358
59	524	349
60	532	340
61	540	331
62	549	322
63	557	313
64	565	304
65	572	295
66	581	286
67	589	277
68	597	268
69	605	259
70	613	250
71	622	241
72	630	233
73	639	224
74	647	215
75	655	207
76	664	198
77	673	189
78	682	181
79	690	172
80	699	164
81	708	155
82	717	146
83	726	138
84	735	129
85	744	121
86	753	112
87	761	103
88	770	95
89	779	86
90	788	77
91	797	69
92	806	60
93	814	52
94	823	43
95	832	34
96	841	26
97	850	17
98	858	8
99	867	0
